skill,level,type,question,option_a,option_b,option_c,option_d,correct_answer,explanation
HTML,BASIC,Multiple Choice,"Which attribute handles redo in form?",onredo,redo,repeat,again,onredo,"onredo handles redo events."
HTML,BASIC,Multiple Choice,"What does onlanguagechange handle in form?",Language change,Locale change,Text change,Translation change,Language change,"onlanguagechange handles language change events."
HTML,BASIC,Multiple Choice,"Which attribute handles orientation change in form?",onorientationchange,orientationchange,rotate,turn,onorientationchange,"onorientationchange handles orientation change events."
HTML,BASIC,Multiple Choice,"What does ondevicemotion handle in form?",Device motion,Movement event,Acceleration event,Motion sensor,Device motion,"ondevicemotion handles device motion events."
HTML,BASIC,Multiple Choice,"Which attribute handles device orientation in form?",ondeviceorientation,deviceorientation,orientation,rotate,ondeviceorientation,"ondeviceorientation handles device orientation events."
HTML,BASIC,Multiple Choice,"What does ongamepadconnected handle in form?",Gamepad connect,Controller connect,Joystick connect,Input connect,Gamepad connect,"ongamepadconnected handles gamepad connection events."
HTML,BASIC,Multiple Choice,"Which attribute handles gamepad disconnect in form?",ongamepaddisconnected,gamepaddisconnected,controller,disconnect,ongamepaddisconnected,"ongamepaddisconnected handles gamepad disconnection events."
HTML,BASIC,Multiple Choice,"What does onvrdisplayconnect handle in form?",VR display connect,Virtual reality connect,VR connect,Display connect,VR display connect,"onvrdisplayconnect handles VR display connection events."
HTML,BASIC,Multiple Choice,"Which attribute handles VR display disconnect in form?",onvrdisplaydisconnect,vrdisplaydisconnect,vr,disconnect,onvrdisplaydisconnect,"onvrdisplaydisconnect handles VR display disconnection events."
HTML,BASIC,Multiple Choice,"What does onvrdisplaypresentchange handle in form?",VR presentation change,VR display change,Present change,VR mode change,VR presentation change,"onvrdisplaypresentchange handles VR presentation change events."
HTML,BASIC,Multiple Choice,"Which attribute handles VR display activate in form?",onvrdisplayactivate,vrdisplayactivate,vr,activate,onvrdisplayactivate,"onvrdisplayactivate handles VR display activation events."
HTML,BASIC,Multiple Choice,"What does onvrdisplaydeactivate handle in form?",VR deactivate,VR display off,Deactivate event,VR disable,VR deactivate,"onvrdisplaydeactivate handles VR display deactivation events."
HTML,BASIC,Multiple Choice,"Which attribute handles VR display blur in form?",onvrdisplayblur,vrdisplayblur,vr,blur,onvrdisplayblur,"onvrdisplayblur handles VR display blur events."
HTML,BASIC,Multiple Choice,"What does onvrdisplayfocus handle in form?",VR display focus,VR focus,Display focus,VR attention,VR display focus,"onvrdisplayfocus handles VR display focus events."
HTML,BASIC,Multiple Choice,"Which attribute handles pointer lock change in form?",onpointerlockchange,pointerlockchange,pointer,lock,onpointerlockchange,"onpointerlockchange handles pointer lock change events."
HTML,BASIC,Multiple Choice,"What does onpointerlockerror handle in form?",Pointer lock error,Lock error,Pointer error,Input error,Pointer lock error,"onpointerlockerror handles pointer lock error events."
HTML,BASIC,Multiple Choice,"Which attribute handles ready state change in form?",onreadystatechange,readystatechange,ready,state,onreadystatechange,"onreadystatechange handles ready state change events."
HTML,BASIC,Multiple Choice,"What does onvisibilitychange handle in form?",Visibility change,View change,Visible state,Display state,Visibility change,"onvisibilitychange handles visibility change events."

HTML,BASIC,Multiple Choice,"What does HTML stand for?",Hyper Text Markup Language,High Tech Modern Language,Hyper Transfer Markup Language,Home Tool Markup Language,Hyper Text Markup Language,"HTML stands for Hyper Text Markup Language, used to structure web pages."
HTML,BASIC,Multiple Choice,"Which element is the root of an HTML document?",<root>,<html>,<document>,<web>,<html>,"The <html> tag is the root element that contains all other HTML elements."
HTML,BASIC,Multiple Choice,"What does the <!DOCTYPE html> declaration do?",Creates a new document,Defines document type,Links to CSS,Adds JavaScript,Defines document type,"<!DOCTYPE html> tells the browser this is an HTML5 document."
HTML,BASIC,Multiple Choice,"Which element contains metadata about the document?",<meta>,<head>,<body>,<data>,<head>,"The <head> element contains metadata like title, links to stylesheets, and scripts."
HTML,BASIC,Multiple Choice,"What does the <title> element define?",Page title,Heading title,Document title,Browser title,Page title,"The <title> element defines the title shown in the browser tab."
HTML,BASIC,Multiple Choice,"Which element contains the visible page content?",<body>,<main>,<content>,<visible>,<body>,"The <body> element contains all visible content on the webpage."
HTML,BASIC,Multiple Choice,"What does the <p> tag create?",Paragraph,Page,Part,Portion,Paragraph,"The <p> tag defines a paragraph of text."
HTML,BASIC,Multiple Choice,"Which tag creates the largest heading?",<h1>,<h6>,<heading>,<header>,<h1>,"<h1> defines the most important (largest) heading, with <h6> being smallest."
HTML,BASIC,Multiple Choice,"What does the <a> tag do?",Adds an anchor,Creates a link,Adds an attribute,Annotates text,Creates a link,"The <a> tag (anchor) creates hyperlinks to other pages or resources."
HTML,BASIC,Multiple Choice,"Which attribute specifies the link destination in <a>?",src,href,link,url,href,"The href attribute specifies the URL of the page the link goes to."
HTML,BASIC,Multiple Choice,"What does the <img> tag do?",Imports images,Inserts images,Imagines pictures,Illustrates content,Inserts images,"The <img> tag embeds an image in the HTML document."
HTML,BASIC,Multiple Choice,"Which attribute specifies the image source in <img>?",src,source,img,href,src,"The src attribute specifies the path to the image file."
HTML,BASIC,Multiple Choice,"What does the alt attribute provide for images?",Alternative text,Alt tag,Alternate image,Alt source,Alternative text,"The alt attribute provides alternative text if the image cannot be displayed."
HTML,BASIC,Multiple Choice,"Which tag creates an unordered list?",<ul>,<ol>,<li>,<list>,<ul>,"The <ul> tag defines an unordered (bulleted) list."
HTML,BASIC,Multiple Choice,"What does the <li> tag define?",Line item,List item,Link item,ListItem,List item,"The <li> tag defines a list item within <ul> or <ol>."
HTML,BASIC,Multiple Choice,"Which tag creates an ordered list?",<ol>,<ul>,<li>,<list>,<ol>,"The <ol> tag defines an ordered (numbered) list."
HTML,BASIC,Multiple Choice,"What does the <div> element do?",Divides content,Creates division,Defines section,All of the above,All of the above,"The <div> tag defines a division or section in an HTML document."
HTML,BASIC,Multiple Choice,"Which element creates a line break?",<br>,<lb>,<break>,<line>,<br>,"The <br> tag inserts a single line break."
HTML,BASIC,Multiple Choice,"What does the <hr> element create?",Horizontal rule,Hard return,Horizontal row,Horizontal line,Horizontal rule,"The <hr> tag creates a thematic break or horizontal line."
HTML,BASIC,Multiple Choice,"Which tag defines a table?",<table>,<tr>,<td>,<th>,<table>,"The <table> tag defines an HTML table."
HTML,BASIC,Multiple Choice,"What does <tr> define in a table?",Table row,Table record,Table rule,Table range,Table row,"The <tr> tag defines a row in a table."
HTML,BASIC,Multiple Choice,"Which tag defines a table cell?",<td>,<th>,<cell>,<tc>,<td>,"The <td> tag defines a standard data cell in a table."
HTML,BASIC,Multiple Choice,"What does <th> define in a table?",Table head,Table header,Table heading,All of the above,All of the above,"The <th> tag defines a header cell in a table."
HTML,BASIC,Multiple Choice,"Which tag creates a form?",<form>,<input>,<fieldset>,<button>,<form>,"The <form> tag creates an HTML form for user input."
HTML,BASIC,Multiple Choice,"What does the <input> element create?",Input field,Interactive control,Form control,All of the above,All of the above,"The <input> tag specifies an input field where user can enter data."
HTML,BASIC,Multiple Choice,"Which input type creates a text field?","type='text'","type='string'","type='input'","type='txt'","type='text'","<input type='text'> creates a single-line text input field."
HTML,BASIC,Multiple Choice,"What does <input type='password'> create?",Password field,Secret field,Protected field,Private field,Password field,"Password fields hide entered characters with asterisks or dots."
HTML,BASIC,Multiple Choice,"Which input type creates a checkbox?","type='checkbox'","type='check'","type='box'","type='select'","type='checkbox'","Checkboxes allow multiple selections from options."
HTML,BASIC,Multiple Choice,"What does <input type='radio'> create?",Radio button,Radio input,Round button,Option button,Radio button,"Radio buttons allow single selection from multiple options."
HTML,BASIC,Multiple Choice,"Which input type creates a submit button?","type='submit'","type='button'","type='send'","type='form'","type='submit'","Submit buttons send form data to the server."
HTML,BASIC,Multiple Choice,"What does the <button> element create?",Clickable button,Interactive button,Form button,All of the above,All of the above,"The <button> tag creates a clickable button that can contain content."
HTML,BASIC,Multiple Choice,"Which tag creates a dropdown list?",<select>,<dropdown>,<option>,<list>,<select>,"The <select> element creates a drop-down list of options."
HTML,BASIC,Multiple Choice,"What does the <option> tag define?",Option in dropdown,Choice in list,Selectable item,All of the above,All of the above,"The <option> tag defines an option in a <select> element."
HTML,BASIC,Multiple Choice,"Which tag creates a textarea?",<textarea>,<textbox>,<input type='text'>,<multiline>,<textarea>,"The <textarea> tag creates a multi-line text input control."
HTML,BASIC,Multiple Choice,"What does the <label> element do?",Labels elements,Associates text with input,Improves accessibility,All of the above,All of the above,"The <label> tag defines a label for form elements."
HTML,BASIC,Multiple Choice,"Which attribute associates a label with an input?",for,label,id,connect,for,"The for attribute of <label> should equal the id of the associated element."
HTML,BASIC,Multiple Choice,"What does the <fieldset> element do?",Groups form elements,Creates field set,Adds border around elements,All of the above,All of the above,"The <fieldset> tag groups related elements in a form."
HTML,BASIC,Multiple Choice,"Which element provides a caption for <fieldset>?",<legend>,<caption>,<title>,<label>,<legend>,"The <legend> tag defines a caption for a <fieldset> element."
HTML,BASIC,Multiple Choice,"What does the <span> element do?",Spans text,Inline container,Groups inline elements,All of the above,All of the above,"The <span> tag is an inline container for phrasing content."
HTML,BASIC,Multiple Choice,"Which element emphasizes text?",<em>,<strong>,<b>,<i>,<em>,"The <em> tag emphasizes text, typically displayed in italics."
HTML,BASIC,Multiple Choice,"What does the <strong> element do?",Indicates importance,Makes text bold,Strong emphasis,All of the above,All of the above,"The <strong> tag indicates strong importance, typically displayed as bold."
HTML,BASIC,Multiple Choice,"Which element makes text bold?",<b>,<strong>,<bold>,<thick>,<b>,"The <b> tag makes text bold without conveying extra importance."
HTML,BASIC,Multiple Choice,"What does the <i> element do?",Italicizes text,Indicates alternate voice,For technical terms,All of the above,All of the above,"The <i> tag italicizes text for various purposes like technical terms."
HTML,BASIC,Multiple Choice,"Which element marks up small text?",<small>,<tiny>,<mini>,<little>,<small>,"The <small> tag defines smaller text (like fine print)."
HTML,BASIC,Multiple Choice,"What does the <mark> element do?",Highlights text,Marks important text,Indicates relevance,All of the above,All of the above,"The <mark> tag highlights or marks text for reference."
HTML,BASIC,Multiple Choice,"Which element defines deleted text?",<del>,<strike>,<s>,<remove>,<del>,"The <del> tag defines text that has been deleted from a document."
HTML,BASIC,Multiple Choice,"What does the <ins> element define?",Inserted text,Added content,New text,All of the above,All of the above,"The <ins> tag defines text that has been inserted into a document."
HTML,BASIC,Multiple Choice,"Which element defines subscript text?",<sub>,<subscript>,<low>,<below>,<sub>,"The <sub> tag defines subscript text (appears half character below normal)."
HTML,BASIC,Multiple Choice,"What does the <sup> element define?",Superscript text,Superior text,Above text,High text,Superscript text,"The <sup> tag defines superscript text (appears half character above normal)."
HTML,BASIC,Multiple Choice,"Which element defines a thematic break?",<hr>,<br>,<break>,<separator>,<hr>,"The <hr> tag represents a thematic break between paragraph-level elements."
HTML,BASIC,Multiple Choice,"What does the <abbr> element define?",Abbreviation,Acronym,Short form,All of the above,All of the above,"The <abbr> tag defines an abbreviation or acronym."
HTML,BASIC,Multiple Choice,"Which element defines contact information?",<address>,<contact>,<info>,<details>,<address>,"The <address> tag defines contact information for the author/owner."
HTML,BASIC,Multiple Choice,"What does the <cite> element define?",Citation,Title of work,Reference,All of the above,All of the above,"The <cite> tag defines the title of a creative work."
HTML,BASIC,Multiple Choice,"Which element defines computer code?",<code>,<pre>,<samp>,<kbd>,<code>,"The <code> tag defines a piece of computer code."
HTML,BASIC,Multiple Choice,"What does the <kbd> element define?",Keyboard input,User input,Keystrokes,All of the above,All of the above,"The <kbd> tag defines keyboard input."
HTML,BASIC,Multiple Choice,"Which element defines sample output?",<samp>,<output>,<result>,<example>,<samp>,"The <samp> tag defines sample output from a computer program."
HTML,BASIC,Multiple Choice,"What does the <var> element define?",Variable,Mathematical variable,Programming variable,All of the above,All of the above,"The <var> tag defines a variable in programming or mathematics."
HTML,BASIC,Multiple Choice,"Which element defines preformatted text?",<pre>,<code>,<text>,<format>,<pre>,"The <pre> tag defines preformatted text that preserves spaces and line breaks."
HTML,BASIC,Multiple Choice,"What does the <blockquote> element define?",Block quotation,Long quote,Section from another source,All of the above,All of the above,"The <blockquote> tag defines a section quoted from another source."
HTML,BASIC,Multiple Choice,"Which element defines a short quotation?",<q>,<quote>,<shortquote>,<cite>,<q>,"The <q> tag defines a short inline quotation."
HTML,BASIC,Multiple Choice,"What does the <dfn> element define?",Definition term,Defining instance,Term definition,All of the above,All of the above,"The <dfn> tag represents the defining instance of a term."
HTML,BASIC,Multiple Choice,"Which element defines a description list?",<dl>,<description>,<list>,<def>,<dl>,"The <dl> tag defines a description list."
HTML,BASIC,Multiple Choice,"What does the <dt> element define?",Description term,Term name,Definition title,All of the above,All of the above,"The <dt> tag defines a term in a description list."
HTML,BASIC,Multiple Choice,"Which element defines the description in <dl>?",<dd>,<description>,<def>,<detail>,<dd>,"The <dd> tag describes a term in a description list."
HTML,BASIC,Multiple Choice,"What does the <details> element create?",Disclosure widget,Expandable section,Interactive control,All of the above,All of the above,"The <details> tag creates an interactive disclosure widget."
HTML,BASIC,Multiple Choice,"Which element provides summary for <details>?",<summary>,<title>,<heading>,<caption>,<summary>,"The <summary> tag defines a visible heading for a <details> element."
HTML,BASIC,Multiple Choice,"What does the <dialog> element create?",Dialog box,Modal window,Popup,All of the above,All of the above,"The <dialog> tag defines a dialog box or window."
HTML,BASIC,Multiple Choice,"Which element defines a container for SVG?",<svg>,<vector>,<graphic>,<canvas>,<svg>,"The <svg> tag defines a container for SVG graphics."
HTML,BASIC,Multiple Choice,"What does the <canvas> element provide?",Drawing surface,Graphics container,Rendering context,All of the above,All of the above,"The <canvas> tag provides a drawing surface for JavaScript graphics."
HTML,BASIC,Multiple Choice,"Which element embeds audio content?",<audio>,<sound>,<media>,<player>,<audio>,"The <audio> tag embeds sound content in a document."
HTML,BASIC,Multiple Choice,"What does the <video> element embed?",Video content,Movie content,Media content,All of the above,All of the above,"The <video> tag embeds video content in a document."
HTML,BASIC,Multiple Choice,"Which element specifies media sources?",<source>,<src>,<media>,<file>,<source>,"The <source> tag specifies multiple media resources for media elements."
HTML,BASIC,Multiple Choice,"What does the <track> element define?",Text tracks,Subtitles,Captions,All of the above,All of the above,"The <track> tag defines text tracks for <audio> and <video> elements."
HTML,BASIC,Multiple Choice,"Which element provides responsive images?",<picture>,<img>,<source>,<responsive>,<picture>,"The <picture> tag provides multiple image sources for different display scenarios."
HTML,BASIC,Multiple Choice,"What does the <figure> element define?",Self-contained content,Image with caption,Illustration,All of the above,All of the above,"The <figure> tag specifies self-contained content like images."
HTML,BASIC,Multiple Choice,"Which element defines a caption for <figure>?",<figcaption>,<caption>,<title>,<legend>,<figcaption>,"The <figcaption> tag defines a caption for a <figure> element."
HTML,BASIC,Multiple Choice,"What does the <main> element define?",Main content,Primary content,Central content,All of the above,All of the above,"The <main> tag specifies the main content of a document."
HTML,BASIC,Multiple Choice,"Which element defines a navigation section?",<nav>,<navigation>,<menu>,<links>,<nav>,"The <nav> tag defines a set of navigation links."
HTML,BASIC,Multiple Choice,"What does the <header> element contain?",Introductory content,Page header,Navigation,All of the above,All of the above,"The <header> tag represents introductory content."
HTML,BASIC,Multiple Choice,"Which element defines a footer?",<footer>,<bottom>,<end>,<close>,<footer>,"The <footer> tag defines a footer for a document or section."
HTML,BASIC,Multiple Choice,"What does the <article> element define?",Independent content,Self-contained composition,News article,All of the above,All of the above,"The <article> tag defines independent, self-contained content."
HTML,BASIC,Multiple Choice,"Which element defines a section in a document?",<section>,<div>,<part>,<segment>,<section>,"The <section> tag defines a section in a document."
HTML,BASIC,Multiple Choice,"What does the <aside> element define?",Side content,Content aside from main content,Sidebar,All of the above,All of the above,"The <aside> tag defines content aside from the main content."
HTML,BASIC,Multiple Choice,"Which element defines a time?",<time>,<datetime>,<date>,<clock>,<time>,"The <time> tag defines a specific time (or datetime)."
HTML,BASIC,Multiple Choice,"What does the <mark> element do?",Highlights text,Indicates relevance,Marks important text,All of the above,All of the above,"The <mark> tag highlights text for reference or emphasis."
HTML,BASIC,Multiple Choice,"Which element defines a progress bar?",<progress>,<meter>,<bar>,<load>,<progress>,"The <progress> tag represents the progress of a task."
HTML,BASIC,Multiple Choice,"What does the <meter> element define?",Gauge,Measurement,Scalar value,All of the above,All of the above,"The <meter> tag defines a scalar measurement within a known range."
HTML,BASIC,Multiple Choice,"Which element defines output of calculation?",<output>,<result>,<calculation>,<value>,<output>,"The <output> tag represents the result of a calculation."
HTML,BASIC,Multiple Choice,"What does the <template> element contain?",Template content,Reusable content,Client-side content,All of the above,All of the above,"The <template> tag holds client-side content not rendered on page load."
HTML,BASIC,Multiple Choice,"Which element defines a slot?",<slot>,<placeholder>,<content>,<insert>,<slot>,"The <slot> tag defines a placeholder in a web component."
HTML,BASIC,Multiple Choice,"What does the <ruby> element define?",Ruby annotation,East Asian typography,Ruby text,All of the above,All of the above,"The <ruby> tag defines a ruby annotation for East Asian typography."
HTML,BASIC,Multiple Choice,"Which element defines ruby text?",<rt>,<rubytext>,<annotation>,<text>,<rt>,"The <rt> tag defines an explanation of ruby text."
HTML,BASIC,Multiple Choice,"What does the <rp> element provide?",Ruby parentheses,Fallback for ruby,Parentheses,All of the above,All of the above,"The <rp> tag defines what to show in browsers that don't support ruby."
HTML,BASIC,Multiple Choice,"Which element isolates bidirectional text?",<bdi>,<bidirectional>,<direction>,<isolate>,<bdi>,"The <bdi> tag isolates bidirectional text formatting."
HTML,BASIC,Multiple Choice,"What does the <bdo> element override?",Text direction,Writing direction,Bidirectional override,All of the above,All of the above,"The <bdo> tag overrides the current text direction."
HTML,BASIC,Multiple Choice,"Which element defines a data value?",<data>,<value>,<datum>,<info>,<data>,"The <data> tag links content with a machine-readable translation."
HTML,BASIC,Multiple Choice,"What does the <wbr> element suggest?",Word break,Line break opportunity,Optional break,All of the above,All of the above,"The <wbr> tag suggests a word break opportunity."
HTML,BASIC,Multiple Choice,"Which attribute defines character encoding?",charset,encoding,character,type,charset,"The charset attribute specifies the character encoding for the document."
HTML,BASIC,Multiple Choice,"What does the lang attribute specify?",Language,Content language,Document language,All of the above,All of the above,"The lang attribute specifies the language of the element's content."
HTML,BASIC,Multiple Choice,"Which attribute provides advisory information?",title,name,caption,heading,title,"The title attribute provides additional information about an element."
HTML,BASIC,Multiple Choice,"What does the id attribute specify?",Unique identifier,Element ID,Document identifier,All of the above,All of the above,"The id attribute specifies a unique id for an HTML element."
HTML,BASIC,Multiple Choice,"Which attribute defines class names?",class,className,type,group,class,"The class attribute specifies one or more class names for an element."
HTML,BASIC,Multiple Choice,"What does the style attribute define?",Inline styles,CSS styles,Element styles,All of the above,All of the above,"The style attribute specifies inline CSS styles for an element."
HTML,BASIC,Multiple Choice,"Which attribute specifies tab order?",tabindex,taborder,order,sequence,tabindex,"The tabindex attribute specifies the tab order of an element."
HTML,BASIC,Multiple Choice,"What does contenteditable enable?",Content editing,Editable content,User editing,All of the above,All of the above,"The contenteditable attribute makes element content editable."
HTML,BASIC,Multiple Choice,"Which attribute hides an element?",hidden,visible,show,display,hidden,"The hidden attribute hides an element from view."
HTML,BASIC,Multiple Choice,"What does draggable enable?",Drag and drop,Dragging capability,Movable element,All of the above,All of the above,"The draggable attribute makes an element draggable."
HTML,BASIC,Multiple Choice,"Which attribute enables spell checking?",spellcheck,check,spelling,grammar,spellcheck,"The spellcheck attribute enables spell checking for an element."
HTML,BASIC,Multiple Choice,"What does the dir attribute specify?",Text direction,Writing direction,Left-to-right or right-to-left,All of the above,All of the above,"The dir attribute specifies the text direction of content."
HTML,BASIC,Multiple Choice,"Which attribute specifies context menu?",contextmenu,menu,rightclick,popup,contextmenu,"The contextmenu attribute specifies a context menu for an element."
HTML,BASIC,Multiple Choice,"What does the translate attribute do?",Specifies translation,Indicates if element should be translated,Translation hint,All of the above,All of the above,"The translate attribute specifies whether element content should be translated."
HTML,BASIC,Multiple Choice,"Which attribute specifies access key?",accesskey,key,shortcut,hotkey,accesskey,"The accesskey attribute specifies a shortcut key to activate/focus an element."
HTML,BASIC,Multiple Choice,"What does the autocapitalize attribute do?",Controls autocapitalization,Text capitalization,Input capitalization,All of the above,All of the above,"The autocapitalize attribute controls text autocapitalization in forms."
HTML,BASIC,Multiple Choice,"Which attribute specifies input mode?",inputmode,mode,inputtype,keyboard,inputmode,"The inputmode attribute provides a hint for virtual keyboard configuration."
HTML,BASIC,Multiple Choice,"What does the is attribute specify?",Custom element type,Element type,Customized built-in element,All of the above,All of the above,"The is attribute specifies that a standard HTML element should behave as a custom element."
HTML,BASIC,Multiple Choice,"Which attribute defines item scope?",itemscope,scope,item,data,itemscope,"The itemscope attribute defines the scope of associated metadata."
HTML,BASIC,Multiple Choice,"What does itemtype specify?",Item type,Type of item,Vocabulary URL,All of the above,All of the above,"The itemtype attribute specifies the URL of vocabulary for item."
HTML,BASIC,Multiple Choice,"Which attribute defines itemid?",itemid,id,item,data,itemid,"The itemid attribute provides a global identifier for an item."
HTML,BASIC,Multiple Choice,"What does itemprop specify?",Item property,Property name,Element property,All of the above,All of the above,"The itemprop attribute defines a property of an item."
HTML,BASIC,Multiple Choice,"Which attribute defines itemref?",itemref,ref,reference,items,itemref,"The itemref attribute references additional elements to crawl for properties."
HTML,BASIC,Multiple Choice,"What does itemscope create?",Microdata item,Scope for properties,Item container,All of the above,All of the above,"The itemscope attribute creates a new item for microdata purposes."
HTML,BASIC,Multiple Choice,"Which attribute defines data-* attributes?",data-*,custom,dataset,info,data-*,"Data-* attributes store custom data private to the page or application."
HTML,BASIC,Multiple Choice,"What does the role attribute specify?",ARIA role,Accessibility role,Element role,All of the above,All of the above,"The role attribute defines the role of an element for accessibility."
HTML,BASIC,Multiple Choice,"Which attribute defines aria-label?",aria-label,label,aria,accessibility,aria-label,"The aria-label attribute provides an accessible name for an element."
HTML,BASIC,Multiple Choice,"What does aria-labelledby do?",References label,Associates with labeling element,Provides label reference,All of the above,All of the above,"The aria-labelledby attribute references elements that label the current element."
HTML,BASIC,Multiple Choice,"Which attribute defines aria-describedby?",aria-describedby,description,aria-description,info,aria-describedby,"The aria-describedby attribute references elements that describe the current element."
HTML,BASIC,Multiple Choice,"What does aria-hidden do?",Hides from accessibility,Removes from accessibility tree,Hides from screen readers,All of the above,All of the above,"The aria-hidden attribute indicates content is hidden from accessibility APIs."
HTML,BASIC,Multiple Choice,"Which attribute defines aria-live?",aria-live,live region,aria region,update,aria-live,"The aria-live attribute indicates content changes should be announced."
HTML,BASIC,Multiple Choice,"What does aria-atomic specify?",Atomic region,Entire region updates,Atomic updates,All of the above,All of the above,"The aria-atomic attribute indicates assistive tech should present entire region."
HTML,BASIC,Multiple Choice,"Which attribute defines aria-busy?",aria-busy,busy,loading,waiting,aria-busy,"The aria-busy attribute indicates an element is being updated."
HTML,BASIC,Multiple Choice,"What does aria-controls specify?",Controls relationship,Controlled elements,Element controls,All of the above,All of the above,"The aria-controls attribute identifies elements controlled by current element."
HTML,BASIC,Multiple Choice,"Which attribute defines aria-current?",aria-current,current,active,selected,aria-current,"The aria-current attribute indicates the current item within set."
HTML,BASIC,Multiple Choice,"What does aria-disabled do?",Disables element,Indicates disabled state,Accessibility disabled,All of the above,All of the above,"The aria-disabled attribute indicates element is perceivable but disabled."
HTML,BASIC,Multiple Choice,"Which attribute defines aria-expanded?",aria-expanded,expanded,collapsed,state,aria-expanded,"The aria-expanded attribute indicates expandable element state."
HTML,BASIC,Multiple Choice,"What does aria-haspopup specify?",Has popup,Popup relationship,Element has popup,All of the above,All of the above,"The aria-haspopup attribute indicates element has a popup."
HTML,BASIC,Multiple Choice,"Which attribute defines aria-hidden?",aria-hidden,hidden,invisible,removed,aria-hidden,"The aria-hidden attribute indicates element is hidden from accessibility."
HTML,BASIC,Multiple Choice,"What does aria-invalid specify?",Invalid state,Error state,Validation error,All of the above,All of the above,"The aria-invalid attribute indicates entered value doesn't conform."
HTML,BASIC,Multiple Choice,"Which attribute defines aria-label?",aria-label,label,title,text,aria-label,"The aria-label attribute defines a string label for an element."
HTML,BASIC,Multiple Choice,"What does aria-level specify?",Hierarchy level,Structure level,Heading level,All of the above,All of the above,"The aria-level attribute defines hierarchical level within structure."
HTML,BASIC,Multiple Choice,"Which attribute defines aria-modal?",aria-modal,modal,dialog,popup,aria-modal,"The aria-modal attribute indicates whether element is modal."
HTML,BASIC,Multiple Choice,"What does aria-multiline specify?",Multiline capability,Textarea attribute,Multiple lines,All of the above,All of the above,"The aria-multiline attribute indicates textbox accepts multiple lines."
HTML,BASIC,Multiple Choice,"Which attribute defines aria-multiselectable?",aria-multiselectable,multiselect,multiple,selectable,aria-multiselectable,"The aria-multiselectable attribute indicates multiple items can be selected."
HTML,BASIC,Multiple Choice,"What does aria-orientation specify?",Orientation,Horizontal/vertical,Element orientation,All of the above,All of the above,"The aria-orientation attribute indicates element orientation."
HTML,BASIC,Multiple Choice,"Which attribute defines aria-placeholder?",aria-placeholder,placeholder,hint,text,aria-placeholder,"The aria-placeholder attribute defines placeholder text."
HTML,BASIC,Multiple Choice,"What does aria-pressed specify?",Pressed state,Toggle button state,Button state,All of the above,All of the above,"The aria-pressed attribute indicates toggle button state."
HTML,BASIC,Multiple Choice,"Which attribute defines aria-readonly?",aria-readonly,readonly,editable,write,aria-readonly,"The aria-readonly attribute indicates element is not editable."
HTML,BASIC,Multiple Choice,"What does aria-required specify?",Required state,Mandatory field,Required input,All of the above,All of the above,"The aria-required attribute indicates user input is required."
HTML,BASIC,Multiple Choice,"Which attribute defines aria-selected?",aria-selected,selected,chosen,picked,aria-selected,"The aria-selected attribute indicates current selected state."
HTML,BASIC,Multiple Choice,"What does aria-sort specify?",Sort order,Sorting,Column sort,All of the above,All of the above,"The aria-sort attribute indicates sort order of items."
HTML,BASIC,Multiple Choice,"Which attribute defines aria-valuemax?",aria-valuemax,max,maximum,value,aria-valuemax,"The aria-valuemax attribute defines maximum allowed value."
HTML,BASIC,Multiple Choice,"What does aria-valuemin specify?",Minimum value,Min allowed value,Lower bound,All of the above,All of the above,"The aria-valuemin attribute defines minimum allowed value."
HTML,BASIC,Multiple Choice,"Which attribute defines aria-valuenow?",aria-valuenow,current value,value now,current,aria-valuenow,"The aria-valuenow attribute defines current value of range."
HTML,BASIC,Multiple Choice,"What does aria-valuetext specify?",Human readable value,Text alternative,Value description,All of the above,All of the above,"The aria-valuetext attribute defines human-readable alternative."
HTML,BASIC,Multiple Choice,"Which attribute defines crossorigin?",crossorigin,cross,origin,domain,crossorigin,"The crossorigin attribute handles CORS requests for external resources."
HTML,BASIC,Multiple Choice,"What does the integrity attribute do?",Subresource integrity,Hash verification,Security check,All of the above,All of the above,"The integrity attribute allows browser to verify subresource integrity."
HTML,BASIC,Multiple Choice,"Which attribute specifies referrer policy?",referrerpolicy,referrer,policy,security,referrerpolicy,"The referrerpolicy attribute specifies referrer information to send."
HTML,BASIC,Multiple Choice,"What does the sandbox attribute do?",Restricts iframe content,Security sandbox,Iframe restrictions,All of the above,All of the above,"The sandbox attribute enables restrictions for iframe content."
HTML,BASIC,Multiple Choice,"Which attribute specifies srcdoc?",srcdoc,source,doc,content,srcdoc,"The srcdoc attribute specifies inline HTML to show in iframe."
HTML,BASIC,Multiple Choice,"What does the loading attribute do?",Controls lazy loading,Loading behavior,Resource loading,All of the above,All of the above,"The loading attribute controls lazy loading of images/iframes."
HTML,BASIC,Multiple Choice,"Which attribute specifies decoding?",decoding,decode,process,render,decoding,"The decoding attribute controls how browser decodes image."
HTML,BASIC,Multiple Choice,"What does fetchpriority specify?",Fetch priority,Resource priority,Loading priority,All of the above,All of the above,"The fetchpriority attribute hints at resource fetch priority."
HTML,BASIC,Multiple Choice,"Which attribute defines sizes?",sizes,size,dimensions,measurements,sizes,"The sizes attribute specifies image sizes for different layouts."
